stim_type	state_marker	cell_population	adj_p_val
PVO4	pP38	GMP	4.93E-02
PVO4	pPLCgamma2	GMP	1.70E-02
PMAiono	pS6	GMP	1.38E-02
PVO4	pBtk_Itk	HSC	1.27E-02
SCF	pBtk_Itk	HSC	1.47E-02
TNFa	pBtk_Itk	HSC	2.29E-02
TPO	pBtk_Itk	HSC	2.97E-02
GMCSF	pBtk_Itk	HSC	3.98E-02
GCSF	pCREB	HSC	1.89E-02
PMAiono	pCREB	HSC	3.67E-02
TNFa	pCREB	HSC	3.72E-02
PVO4	pCREB	HSC	6.30E-03
PMAiono	pERK1_2	HSC	1.19E-02
PMAiono	pH3	HSC	1.36E-02
PMAiono	pP38	HSC	1.85E-02
PVO4	pP38	HSC	2.87E-03
PVO4	pPLCgamma2	HSC	2.85E-02
SCF	pS6	HSC	1.19E-02
PMAiono	pS6	HSC	2.15E-02
TNFa	pS6	HSC	3.00E-02
PVO4	pS6	HSC	4.49E-02
PVO4	pSLP_76	HSC	1.45E-02
IL3	pSTAT3	HSC	1.42E-02
SCF	pSTAT3	HSC	2.12E-03
GMCSF	pSTAT3	HSC	2.88E-02
IFNad	pSTAT3	HSC	2.93E-05
PVO4	pSTAT3	HSC	3.34E-02
GCSF	pSTAT3	HSC	9.27E-06
IFNad	pSTAT5	HSC	1.84E-02
GMCSF	pSTAT5	HSC	5.88E-03
PVO4	pCrkL	Immature B	5.64E-04
PMAiono	pERK1_2	Immature B	1.57E-02
PVO4	pERK1_2	Immature B	2.42E-03
PMAiono	pH3	Immature B	5.70E-03
PVO4	pMAPKAPK2	Immature B	4.60E-02
BCR	pPLCgamma2	Immature B	4.89E-03
PVO4	pPLCgamma2	Immature B	4.90E-05
PMAiono	pS6	Immature B	1.32E-02
SCF	pS6	Immature B	4.76E-02
PVO4	pSHP2	Immature B	3.74E-04
PVO4	pSLP_76	Immature B	1.75E-05
BCR	pSLP_76	Immature B	3.29E-02
PVO4	pSrcFK	Immature B	2.63E-03
IL3	pSTAT3	Immature B	1.03E-02
PVO4	pSTAT3	Immature B	1.17E-05
SCF	pSTAT3	Immature B	1.88E-02
GCSF	pSTAT3	Immature B	2.23E-03
IFNad	pSTAT3	Immature B	4.53E-05
BCR	pSTAT3	Immature B	4.66E-02
PMAiono	pSTAT3	Immature B	7.58E-03
PVO4	pSTAT5	Immature B	3.52E-02
PVO4	pZAP70_Syk	Immature B	1.25E-02
SCF	pBtk_Itk	Mature CD38lo B	2.32E-02
GMCSF	pBtk_Itk	Mature CD38lo B	2.78E-02
TPO	pBtk_Itk	Mature CD38lo B	3.85E-02
TNFa	pBtk_Itk	Mature CD38lo B	8.78E-03
