stim_type	state_marker	cluster
PMAiono	pS6	Naive CD4+ T
PMAiono	pH3	Plasmacytoid DC
PMAiono	pP38	Memory CD8+ T
PMAiono	pCREB	Mature CD38lo B
PVO4	pCrkL	CD11bhi Monocyte
PVO4	pSHP2	Plasma cell
PVO4	pZAP70_Syk	Memory CD4+ T
PVO4	pSLP_76	Naive CD8+ T
PVO4	pPLCgamma2	Memory CD8+ T
PVO4	pCrkL	Memory CD8+ T
PVO4	pSTAT3	Plasma cell
PVO4	pPLCgamma2	Naive CD4+ T
PVO4	pSLP_76	Myelocyte
PVO4	pS6	Pre-B I
PVO4	pPLCgamma2	CD11bhi Monocyte
PVO4	pSTAT3	Immature B
PVO4	pZAP70_Syk	Memory CD8+ T
PVO4	pSTAT3	Pre-B II
PVO4	pP38	Memory CD4+ T
PVO4	pSTAT5	Memory CD8+ T
PVO4	pZAP70_Syk	Immature B
PVO4	pBtk_Itk	HSC
PVO4	pZAP70_Syk	Naive CD4+ T
PVO4	pCrkL	CD11bmid Monocyte
PVO4	pSrcFK	Naive CD8+ T
PVO4	pSTAT5	Naive CD4+ T
PVO4	pCrkL	Naive CD4+ T
PVO4	pP38	CD11bmid Monocyte
PVO4	pS6	Naive CD4+ T
PVO4	pSLP_76	HSC
PVO4	pSrcFK	Mature CD38lo B
PVO4	pSLP_76	Memory CD4+ T
PVO4	pMAPKAPK2	Plasma cell
PVO4	pP38	Plasma cell
PVO4	pP38	Pre-B I
PVO4	pPLCgamma2	Pre-B II
PVO4	pSTAT5	Plasmacytoid DC
PVO4	pSrcFK	Plasmacytoid DC
PVO4	pSHP2	CD11bmid Monocyte
PVO4	pPLCgamma2	Naive CD8+ T
PVO4	pP38	MEP
PVO4	pS6	Naive CD8+ T
PVO4	pERK1_2	CD11b- Monocyte
PVO4	pPLCgamma2	GMP
PVO4	pP38	Naive CD8+ T
PVO4	pSHP2	Memory CD4+ T
PVO4	pSLP_76	Immature B
PVO4	pSTAT5	Memory CD4+ T
PVO4	pSHP2	CD11bhi Monocyte
PVO4	pZAP70_Syk	CD11bmid Monocyte
PVO4	pSLP_76	Mature CD38mid B
PVO4	pSLP_76	Pre-B II
PVO4	pSHP2	Memory CD8+ T
PVO4	pMAPKAPK2	Memory CD8+ T
PVO4	pSLP_76	Plasma cell
PVO4	pP38	Plasmacytoid DC
PVO4	pPLCgamma2	CMP
PVO4	pERK1_2	MEP
PVO4	IkBalpha	MEP
PVO4	pSLP_76	MPP
PVO4	pSrcFK	Memory CD4+ T
PVO4	pSTAT5	Pre-B I
PVO4	pERK1_2	Immature B
PVO4	pSrcFK	Plasma cell
PVO4	pERK1_2	CD11bmid Monocyte
PVO4	pSHP2	Pre-B I
PVO4	pPLCgamma2	Myelocyte
PVO4	pSrcFK	CD11bmid Monocyte
PVO4	pSLP_76	CD11bmid Monocyte
PVO4	pSTAT5	Naive CD8+ T
PVO4	pSHP2	CD11b- Monocyte
PVO4	pSrcFK	Immature B
PVO4	pERK1_2	Plasma cell
PVO4	pCREB	MEP
PVO4	pSHP2	Naive CD4+ T
PVO4	pSLP_76	CD11bhi Monocyte
PVO4	IkBalpha	CD11bmid Monocyte
PVO4	pSrcFK	Pre-B I
PVO4	pPLCgamma2	HSC
PVO4	pP38	HSC
PVO4	pSLP_76	Memory CD8+ T
PVO4	pSLP_76	CD11b- Monocyte
PVO4	pSTAT3	Memory CD4+ T
PVO4	pSTAT3	CD11bmid Monocyte
PVO4	pS6	Memory CD4+ T
PVO4	pS6	MEP
PVO4	pSrcFK	Pre-B II
PVO4	pSTAT3	HSC
PVO4	pERK1_2	Pre-B I
PVO4	pCrkL	Pre-B I
PVO4	pSTAT3	CD11b- Monocyte
PVO4	pMAPKAPK2	Naive CD8+ T
PVO4	pP38	CMP
PVO4	pSTAT5	Immature B
PVO4	pSTAT3	Naive CD8+ T
PVO4	pMAPKAPK2	Memory CD4+ T
PVO4	pCREB	Pre-B I
PVO4	pSrcFK	Naive CD4+ T
PVO4	pSHP2	Immature B
PVO4	pZAP70_Syk	Naive CD8+ T
PVO4	pERK1_2	Myelocyte
PVO4	pCrkL	Naive CD8+ T
PVO4	pPLCgamma2	Mature CD38mid B
PVO4	pSLP_76	Pre-B I
PVO4	pSTAT5	CD11bhi Monocyte
PVO4	pP38	CD11bhi Monocyte
PVO4	pPLCgamma2	Megakaryocyte
PVO4	pS6	HSC
PVO4	pSHP2	MEP
PVO4	pMAPKAPK2	Immature B
PVO4	pCREB	MPP
PVO4	pCREB	Plasma cell
PVO4	pNFkB	Pre-B I
PVO4	pSTAT5	CD11b- Monocyte
PVO4	pPLCgamma2	Immature B
PVO4	pP38	GMP
PVO4	pPLCgamma2	CD11b- Monocyte
PVO4	pPLCgamma2	Plasma cell
PVO4	pCREB	Naive CD4+ T
PVO4	pCrkL	Pre-B II
PVO4	pCrkL	Immature B
PVO4	pSrcFK	CD11b- Monocyte
PVO4	pCREB	HSC
PVO4	pP38	Memory CD8+ T
PVO4	pPLCgamma2	Platelet
PVO4	pSrcFK	CD11bhi Monocyte
PVO4	pP38	CD11b- Monocyte
PVO4	pCrkL	CD11b- Monocyte
PVO4	pPLCgamma2	Pre-B I
PVO4	pPLCgamma2	MPP
PVO4	pP38	MPP
PVO4	pPLCgamma2	Memory CD4+ T
PVO4	pPLCgamma2	MEP
PVO4	pSHP2	Naive CD8+ T
PVO4	pCREB	Naive CD8+ T
PVO4	pP38	Naive CD4+ T
PVO4	pSTAT3	CD11bhi Monocyte
PVO4	pCREB	Plasmacytoid DC
PVO4	pBtk_Itk	Mature CD38lo B
PVO4	pP38	Pre-B II
PVO4	pP38	NK
PVO4	pSrcFK	Memory CD8+ T
PVO4	pPLCgamma2	CD11bmid Monocyte
PVO4	pSLP_76	Naive CD4+ T
PVO4	pPLCgamma2	Erythroblast
PVO4	pCrkL	Memory CD4+ T
PVO4	pSTAT5	CD11bmid Monocyte
PVO4	pSLP_76	Plasmacytoid DC
SCF	pS6	HSC
SCF	pSTAT3	Memory CD8+ T
SCF	pBtk_Itk	HSC
SCF	pSrcFK	CD11bhi Monocyte
SCF	pSTAT3	CD11bmid Monocyte
SCF	pCREB	MEP
SCF	pSTAT3	Immature B
SCF	pP38	CD11bmid Monocyte
SCF	pSTAT3	HSC
SCF	pSrcFK	CD11b- Monocyte
SCF	pBtk_Itk	Mature CD38lo B
SCF	pSTAT3	CD11bhi Monocyte
SCF	pSTAT3	CD11b- Monocyte
SCF	pSrcFK	CD11bmid Monocyte
SCF	pSTAT3	Plasma cell
SCF	pSTAT3	Memory CD4+ T
SCF	pS6	Immature B
SCF	pSTAT3	NK
SCF	pS6	MEP
SCF	pSTAT3	Naive CD4+ T
SCF	pSTAT3	Naive CD8+ T
SCF	pSrcFK	Pre-B II
TNFa	pS6	MEP
TNFa	pS6	CD11b- Monocyte
TNFa	IkBalpha	CD11bhi Monocyte
TNFa	pH3	CD11bmid Monocyte
TNFa	IkBalpha	Plasmacytoid DC
TNFa	pH3	CD11bhi Monocyte
TNFa	IkBalpha	CD11b- Monocyte
TNFa	pBtk_Itk	HSC
TNFa	pCREB	MEP
TNFa	IkBalpha	NK
TNFa	IkBalpha	GMP
TNFa	pCREB	Pre-B I
TNFa	IkBalpha	CMP
TNFa	pP38	CD11bhi Monocyte
TNFa	pSrcFK	CD11b- Monocyte
TNFa	pS6	HSC
TNFa	pS6	CD11bmid Monocyte
TNFa	IkBalpha	Pre-B I
TNFa	pH3	MEP
TNFa	pH3	CD11b- Monocyte
TNFa	pCREB	HSC
TNFa	pP38	CD11b- Monocyte
TNFa	IkBalpha	CD11bmid Monocyte
TNFa	pP38	CD11bmid Monocyte
TNFa	pBtk_Itk	Memory CD8+ T
TNFa	pSrcFK	CD11bhi Monocyte
TNFa	pCREB	Plasmacytoid DC
TNFa	IkBalpha	MEP
TNFa	pH3	Plasmacytoid DC
TNFa	pCREB	Naive CD4+ T
TNFa	pBtk_Itk	Mature CD38lo B
TPO	pP38	CD11bmid Monocyte
TPO	pBtk_Itk	HSC
TPO	pBtk_Itk	Mature CD38lo B
TPO	pS6	MEP
TPO	pSTAT5	MEP
